api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507300151,35.9135736,-97.676563,KINGFISHER,POOL,#1,PAYNE EXPLORATION COMPANY,PLUGGED,PA,NT
3507300152,35.9135736,-97.676563,KINGFISHER,DICKERSON,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300153,35.946237,-97.6966184,KINGFISHER,COLLINS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300154,35.9572098,-97.7723812,KINGFISHER,STANFILL,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300155,36.1240184,-98.0041297,KINGFISHER,GRAY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,NT
3507300156,36.1439598,-97.7991629,KINGFISHER,WILLIAM TAGGART,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,NT
3507300157,36.0876168,-97.6765655,KINGFISHER,STORY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300158,36.1357857,-97.7668115,KINGFISHER,HAWK,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,NT
3507300159,36.0632844,-98.007473,KINGFISHER,BRIGG,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300160,36.0061173,-97.7300411,KINGFISHER,HOUGHEY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300161,36.0223503,-97.6810273,KINGFISHER,COLE,#1,BLACK GOLD DRILLING COMPANY,PLUGGED,PA,DRY
3507300162,36.0513564,-97.6921908,KINGFISHER,ROBBINS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300163,35.8363104,-98.1927016,KINGFISHER,BURSON,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300164,35.8910479,-97.9834801,KINGFISHER,CAMPBELL,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300165,35.8919543,-97.9845941,KINGFISHER,PECK,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300167,35.8339507,-97.8265559,KINGFISHER,STURGEON,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300168,35.840157,-97.7074756,KINGFISHER,COBB,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,NT
3507300170,35.7603862,-97.7074615,KINGFISHER,CASS WRIGHT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300172,35.731506,-97.97902,KINGFISHER,ROTHER,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300173,35.771419,-97.8588247,KINGFISHER,CERNEY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300175,35.7741315,-97.8465797,KINGFISHER,FRAKES,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300176,36.1076647,-97.7568038,KINGFISHER,BAKER,#1,SPELLER OIL CORPORATION,PLUGGED,PA,DRY
3507300177,35.9046781,-97.8191677,KINGFISHER,LANKARD,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300179,35.9763108,-97.8960467,KINGFISHER,MARTIN,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300180,35.994419,-97.82475,KINGFISHER,L.N.U.(REDMON 1),#27-1,BCE-MACH III LLC,OIL,AC,OIL
3507300181,36.139369,-98.0520211,KINGFISHER,COLE,#1,JONES & PELLOW OIL CO,PLUGGED,PA,OIL
